,,,,,,
,,,,,,
№,Описание проверки,"Статус Окружение 1 Google Chrome версии 121.0, 1920x1080","Статус Окружение 2 Яндекс Браузер версии 24.1, 1280x720",Ссылка на баг-репорт,Комментарий,Спасибо за отличное ревью!
"Кнопка ""Статус заказа""",,,,,,
1,"Кнопка ""Статус заказа"" находится в правом верхнем углу лендинга",PASSED,PASSED,,"Эти проверки я перенс в раздел ""шапка""",
2,Кнопка не имеет рамок,PASSED,PASSED,,,
3,Кнопка не имеет фона,PASSED,PASSED,,,
4,"Цвет текста ""Статус заказа"" черный",PASSED,PASSED,,,
5,Кнопка выровнена,PASSED,PASSED,,,
6,"При наведении курсора на кнопку ""Статус заказа"" курсор меняется на руку",PASSED,PASSED,,,
7,"При клике по кнопке ""Статус заказа"" появляется поле ввода ""Номер заказа""",PASSED,PASSED,,,
"Поле ""Номер заказа""",,,,,,
8,"Поле ""Номер заказа""  выровнено",PASSED,PASSED,,,
9,"Рамки поля ""Номер заказа"" скругленные",PASSED,PASSED,,,
10,"Рамки поля ""Номер заказа"" серые",PASSED,PASSED,,,
11,"Внутри поля плейсхолдер ""Номер заказа""",FAILED,FAILED,"5V-85 Плейсхолдер внутри поля ""номер заказа"" называется ""Введите номер заказа""",,
12,"Цвет текста ""Номер заказа"" серый",PASSED,PASSED,,,
13,Плейсхолдер не содержит орфографических ошибок,PASSED,PASSED,,,
14,Если начать вводить символы в поле рамки становятся синими,FAILED,FAILED,"5V-82 Рамка поля ""номер заказа"" становится черной, после ввода символов",,
15,Если начать вводить символы в поле плейсхолдер пропадает,PASSED,PASSED,,,
16,"Если ввести в поле ""Номер заказа"" корректное значение на экране появляются данные о заказе пользователя и цепочка статусов заказа.",PASSED,PASSED,,,
Данные о заказе пользователя,,,,,,
17,Под лендингом есть поле с номером заказа,PASSED,PASSED,,,
18,"По умолчанию в поле указан номер заказа, который был введен ранее",PASSED,PASSED,,,
19,Поле с номером заказа выровнено,PASSED,PASSED,,,
20,Рамки поля с номером заказа черные,PASSED,PASSED,,,
21,Рамки поля с номером заказа скругленные,PASSED,PASSED,,,
22,Цвет номера заказа черный,PASSED,PASSED,,,
23,Можно ввести другой номер заказа,PASSED,PASSED,,,
24,"Справа от поля с номером заказа есть кнопка ""Посмотреть""",PASSED,PASSED,,,
25,"Кнопка ""Посмотреть"" выровнена",PASSED,PASSED,,,
26,"Кнопка ""Посмотреть"" имеет черный фон",PASSED,PASSED,,,
27,"Цвет тектса ""Посмотреть"" белый",PASSED,PASSED,,,
28,"При наведении курсора на кнопку ""Посмотреть"" курсор меняется на руку",PASSED,PASSED,,,
29,"При наведении курсора на кнопку ""Посмотреть"" цвет кнопки тусклеет",PASSED,PASSED,,,
30,"Если ввести другой номер заказа в поле с номером заказа и нажать кнопку ""Посмотреть"" откроются данные и статусы другого заказа",PASSED,PASSED,,,
31,Информация о заказе пользователья находится под полем номера заказа слева,PASSED,PASSED,,,
32,Названия полей данных заказа выровнены по левому краю,PASSED,PASSED,,,
33,Названия полей не содержат орфографических ошибок,PASSED,PASSED,,,
34,Названия полей серого цвета,PASSED,PASSED,,,
35,Названия полей не налазят друг на друга,PASSED,PASSED,,,
36,"Между полями ""Номер телефона"" и ""Дата доставки"" есть разделительная линия",PASSED,PASSED,,,
37,"Между полями ""Срок аренды"" и ""Цвет"" есть разделительная линия",PASSED,PASSED,,,
