Запрос,Описание проверки,№,,Статус,Ссылка на баг-репорт
Создание курьера: POST /api/v1/courier,Проверка вводимых данных в поле login:,,,,
,201 created:,,,,
,"ввести латинские буквы, длины 2 (iv) в поле login и пароль ""1234"" ",1,Код и статус ответа: 201: Created,PASSED,
,,2,Ошибок в структуре ответа нет,PASSED,
,,3,Курьер создался,PASSED,
,"ввести латинские буквы, длины 3 (iva) в поле login и пароль ""1234"" ",4,Код и статус ответа: 201: Created,PASSED,
,,5,Ошибок в структуре ответа нет,PASSED,
,,6,Курьер создался,PASSED,
,"ввести латинские буквы, длины 5 (ivann) в поле login и пароль ""1234"" ",7,Код и статус ответа: 201: Created,PASSED,
,,8,Ошибок в структуре ответа нет,PASSED,
,,9,Курьер создался,PASSED,
,"ввести латинские буквы, длины 9 (ivanivann) в поле login и пароль ""1234"" ",10,Код и статус ответа: 201: Created,PASSED,
,,11,Ошибок в структуре ответа нет,PASSED,
,,12,Курьер создался,PASSED,
,"ввести латинские буквы, длины 10 (ivanivaniv) в поле login и пароль ""1234"" ",13,Код и статус ответа: 201: Created,PASSED,
,,14,Ошибок в структуре ответа нет,PASSED,
,,15,Курьер создался,PASSED,
,"Проверить что логин добавился в поле login таблицы ""Couriers""",16,Код и статус ответа: 201: Created,PASSED,
,,17,Ошибок в структуре ответа нет,PASSED,
,,18,Курьер создался,PASSED,
,400 Bad Request:,,,,
,"ввести латинские буквы, длины 1 (i) в поле login и пароль ""1234"" ",19,Код и статус ответа: 400: Bad Request,FAILED,"5V-113 Можно ввести 1 символ в поле ""login"", при отправке POST /api/v1/courier запроса на создание курьера"
,,20,Ошибок в структуре ответа нет,FAILED,
,,21,Курьер не создался,FAILED,
,"ввести латинские буквы, длины 11 (ivanivaniva) в поле login и пароль ""1234"" ",22,Код и статус ответа: 400: Bad Request,FAILED,"5V-114 Можно ввести 11 символов в поле ""login"", при отправке POST /api/v1/courier запроса на создание курьера"
,,23,Ошибок в структуре ответа нет,FAILED,
,,24,Курьер не создался,FAILED,
,"ввести латинские буквы, длины 20 (ivanivanivanivanivan) в поле login и пароль ""1234"" ",25,Код и статус ответа: 400: Bad Request,FAILED,"5V-114 Можно ввести 11 символов в поле ""login"", при отправке POST /api/v1/courier запроса на создание курьера"
,,26,Ошибок в структуре ответа нет,FAILED,
,,27,Курьер не создался,FAILED,
,"ввести русские буквы в поле login (ваня) и пароль ""1234""",28,Код и статус ответа: 400: Bad Request,FAILED,"5V-115 Можно ввести недопустимые символы в поле ""login"", при отправке POST /api/v1/courier запроса на создание курьера"
,,29,Ошибок в структуре ответа нет,FAILED,
,,30,Курьер не создался,FAILED,
,"ввести спец.символы в поле login (№№№) и пароль ""1234""",31,Код и статус ответа: 400: Bad Request,FAILED,"5V-115 Можно ввести недопустимые символы в поле ""login"", при отправке POST /api/v1/courier запроса на создание курьера"
,,32,Ошибок в структуре ответа нет,FAILED,
,,33,Курьер не создался,FAILED,
,"ввести цифры в поле login (1234) и пароль ""1234""",34,Код и статус ответа: 400: Bad Request,FAILED,"5V-115 Можно ввести недопустимые символы в поле ""login"", при отправке POST /api/v1/courier запроса на создание курьера"
,,35,Ошибок в структуре ответа нет,FAILED,
,,36,Курьер не создался,FAILED,
,"ввести пробел в поле login (""iv an"") и пароль ""1234""",37,Код и статус ответа: 400: Bad Request,FAILED,"5V-115 Можно ввести недопустимые символы в поле ""login"", при отправке POST /api/v1/courier запроса на создание курьера"
,,38,Ошибок в структуре ответа нет,FAILED,
,,39,Курьер не создался,FAILED,
,"оставить пустым поле login и ввести пароль ""1234""",40,Код и статус ответа: 400: Bad Request,PASSED,
,,41,Ошибок в структуре ответа нет,PASSED,
,,42,Курьер не создался,PASSED,
,Задать ключ login в теле запроса некорректно: вместо login - log,43,Код и статус ответа: 400: Bad Request,PASSED,
,,44,Ошибок в структуре ответа нет,PASSED,
,,45,Курьер не создался,PASSED,
,409 Conflict:,,,,
,"Ввести логин заранее созданого курьера и пароль ""1234"" ",46,Код и статус ответа: 409: Conflict,PASSED,
,,47,Ошибок в структуре ответа нет,PASSED,
,,48,Курьер не создался,PASSED,
,Проверка вводимых данных в поле password:,,,,
,201 created:,,,,
,"ввести цифры, длинны 4 (1234) в поле password и логин ""ninja""",49,Код и статус ответа: 201: Created,PASSED,
,,50,Ошибок в структуре ответа нет,PASSED,
,,51,Курьер создался,PASSED,
,"Проверить что хэш пароля добавился в поле passwordHash таблицы ""Couriers""",52,Код и статус ответа: 201: Created,PASSED,
,,53,Ошибок в структуре ответа нет,PASSED,
,,54,Курьер создался,PASSED,
,400 Bad Request:,,,,
,"ввести цифры, длинны 3 (123) в поле password и логин ""ninja""",55,Код и статус ответа: 400: Bad Request,FAILED,"5V-116 Можно ввести 3 символа в поле ""password"", при отправке POST /api/v1/courier запроса на создание курьера"
,,56,Ошибок в структуре ответа нет,FAILED,
,,57,Курьер не создался,FAILED,
,"ввести цифры, длинны 5 (12345) в поле password и логин ""ninja""",58,Код и статус ответа: 400: Bad Request,FAILED,"5V-117 Можно ввести 5 символов в поле ""password"", при отправке POST /api/v1/courier запроса на создание курьера"
,,59,Ошибок в структуре ответа нет,FAILED,
,,60,Курьер не создался,FAILED,
,"ввести дробные числа (1.55) в поле password и логин ""ninja""",61,Код и статус ответа: 400: Bad Request,FAILED,"5V-118 Можно ввести недопустимые символы в поле ""password"", при отправке POST /api/v1/courier запроса на создание курьера"
,,62,Ошибок в структуре ответа нет,FAILED,
,,63,Курьер не создался,FAILED,
,"ввести русские буквы (ваня) в поле password и логин ""ninja""",64,Код и статус ответа: 400: Bad Request,FAILED,"5V-118 Можно ввести недопустимые символы в поле ""password"", при отправке POST /api/v1/courier запроса на создание курьера"
,,65,Ошибок в структуре ответа нет,FAILED,
,,66,Курьер не создался,FAILED,
